# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.00871802    0.00616358   -0.11254928    0.00000000    0.56182489   -0.14815550   -0.13981362   -0.14464966
   -0.00893438   -0.00638303   -0.11079879    0.00000000    0.56707483   -0.14601065   -0.14244388   -0.13743566
   -0.00521066   -0.01567572   -0.07149716    0.00000000    0.68363746   -0.09396773   -0.09657681   -0.08427741
   -0.00782203    0.01086795   -0.08999573    0.00348740    0.62845922   -0.11885238   -0.10927377   -0.11780092
   -0.05243457    0.08979958   -0.04009904    0.00225582    0.59176921   -0.07513054   -0.00427241   -0.07473049
   -0.00499153    0.01506474   -0.07194673    0.00000000    0.68322258   -0.09444450   -0.08514276   -0.09696278
   -0.05243989    0.08979368   -0.04009609    0.00225583    0.59177933   -0.07512916   -0.00426974   -0.07472319
   -0.05244042    0.08979644   -0.04009742    0.00225583    0.59177149   -0.07513110   -0.00427023   -0.07472585
   -0.05243867    0.08979501   -0.04009964    0.00225582    0.59177410   -0.07513316   -0.00427404   -0.07472853
    0.14691133    0.00039730   -0.04462898    0.00000000    0.46608202    0.00936866   -0.09030115   -0.09061288
   -0.05244904    0.08979242   -0.04009757    0.00225584    0.59177091   -0.07513520   -0.00427005   -0.07472251
   -0.05222326   -0.09001220   -0.04011125    0.00249325    0.59145634   -0.07505045   -0.07487740   -0.00425250
   -0.05222841   -0.09001231   -0.04011636    0.00249326    0.59144561   -0.07505934   -0.07488283   -0.00425784
   -0.05223225   -0.09001429   -0.04011245    0.00249326    0.59144141   -0.07505607   -0.07487773   -0.00425119
   -0.05243204    0.08979043   -0.04009576    0.00225582    0.59179485   -0.07512518   -0.00427236   -0.07472326
   -0.00797510    0.01047834   -0.09166737    0.00346679    0.62341619   -0.12106355   -0.11153377   -0.11975523
   -0.05223030   -0.09001964   -0.04011700    0.00249324    0.59142715   -0.07506102   -0.07488610   -0.00425536
   -0.05222499   -0.09002200   -0.04011566    0.00249325    0.59142884   -0.07505689   -0.07488650   -0.00425391
   -0.05243847    0.08978532   -0.04009339    0.00225583    0.59180149   -0.07512506   -0.00426988   -0.07471677
   -0.05222784   -0.09001180   -0.04011424    0.00249324    0.59144948   -0.07505636   -0.07488003   -0.00425545
    0.05235614   -0.09023301    0.04009132    0.00216705    0.59102877    0.07508511    0.00411024    0.07490839
   -0.05222884   -0.09001264   -0.04011234    0.00249325    0.59144859   -0.07505438   -0.07487771   -0.00425247
   -0.05243206    0.08979126   -0.04009710    0.00225582    0.59179167   -0.07512691   -0.00427375   -0.07472530
   -0.05243154    0.08978825   -0.04009457    0.00225582    0.59180127   -0.07512344   -0.00427182   -0.07472100
    0.00874598   -0.00630721    0.11159559    0.00000000    0.56470563    0.14694623    0.13852900    0.14347773
   -0.00795540   -0.01141632   -0.08838904    0.00325184    0.63303600   -0.11685419   -0.11592724   -0.10696983
